,stock,description,tokenized_description
28,科华数据,"['闪耀', '“', '双子星', '”', '大储', '＋', '户储', '双轨', '推动', '，', '新能源', '布局', '加速']","['闪耀', '“', '双子星', '”', '大储', '＋', '户储', '双轨', '推动', '，', '新能源', '布局', '加速']"
29,安克创新,"['全', '氮化', '镓', '旗舰', '系列', '新品', '发布', '充电', '品类', '历久弥新', '—', '—', '公司', '信息', '更新', '报告']","['全', '氮化', '镓', '旗舰', '系列', '新品', '发布', '充电', '品类', '历久弥新', '—', '—', '公司', '信息', '更新', '报告']"
30,水井坊半,"['至暗', '时刻', '已过', '全年', '目标', '可', '期']","['至暗', '时刻', '已过', '全年', '目标', '可', '期']"
31,常熟银行,"['营收强', '拨备', '厚', '60', '亿元', '转债', '获批']","['营收强', '拨备', '厚', '60', '亿元', '转债', '获批']"
32,华能国际,"['高', '煤价', '和', '低', '利用率', '拖累', '业绩', '新能源', '盈利', '提升', '23', '％', '，', '欠补', '发放', '增强', '现金流']","['高', '煤价', '和', '低', '利用率', '拖累', '业绩', '新能源', '盈利', '提升', '23', '％', '，', '欠补', '发放', '增强', '现金流']"
33,水井坊,"['费用', '投入', '较', '高', '注重', '长期', '品牌', '发展']","['费用', '投入', '较', '高', '注重', '长期', '品牌', '发展']"
34,潮宏基,"['布局', '数字', '藏品', '、', '培育', '钻石', '彰显', '时尚', '创新', '品牌', '基因', '—', '—', '公司', '信息', '更新', '报告']","['布局', '数字', '藏品', '、', '培育', '钻石', '彰显', '时尚', '创新', '品牌', '基因', '—', '—', '公司', '信息', '更新', '报告']"
35,华能国际,"['煤价', '高位', '盈利', '承压', '补贴', '加速', '收回']","['煤价', '高位', '盈利', '承压', '补贴', '加速', '收回']"
36,水井坊,"['费用', '收窄', '业绩', '扭亏为盈', '旺季', '回补', '或', '带来', '持续', '改善']","['费用', '收窄', '业绩', '扭亏为盈', '旺季', '回补', '或', '带来', '持续', '改善']"
37,水井坊,"['营收', '逆势', '增长', '业绩', '扭亏为盈']","['营收', '逆势', '增长', '业绩', '扭亏为盈']"
38,航天宏图,"['2022', '股权', '激励', '发布', '云', '业务', '转型', '加速']","['2022', '股权', '激励', '发布', '云', '业务', '转型', '加速']"
39,华能国际,"['电量', '下滑', '拖累', '当期', '表现', '新能源', '转型', '稳步', '推进']","['电量', '下滑', '拖累', '当期', '表现', '新能源', '转型', '稳步', '推进']"
40,药明康德,"['CRDMO', '一体化', '商业模式', '驱动', '2022H1', '业绩', '持续', '高', '增长']","['CRDMO', '一体化', '商业模式', '驱动', '2022H1', '业绩', '持续', '高', '增长']"
41,华铁应急,"['高机', '租赁', '翻倍', '增长', '疫后', '盈利', '有望', '提速']","['高机', '租赁', '翻倍', '增长', '疫后', '盈利', '有望', '提速']"
42,常熟银行,"['信贷', '投放', '“', '供需', '两旺', '”', '业绩', '增长', '保持', '韧性']","['信贷', '投放', '“', '供需', '两旺', '”', '业绩', '增长', '保持', '韧性']"
43,华大九天,"['国内', 'EDA', '龙头企业', '受益', '于', '国产化', '推进']","['国内', 'EDA', '龙头企业', '受益', '于', '国产化', '推进']"
44,科伦药业,"['再', '合作', 'MSD', '签订', '9', '亿美元', '大单', '创新', '兑现', '持续', '超', '预期']","['再', '合作', 'MSD', '签订', '9', '亿美元', '大单', '创新', '兑现', '持续', '超', '预期']"
45,江山欧派,"['经销商', '渠道', '快速', '推进', '项目', '产能', '加速', '释放']","['经销商', '渠道', '快速', '推进', '项目', '产能', '加速', '释放']"
46,中控技术,"['新', '产品', '重磅', '发布', '智能', '运行', '管理', '与', '控制系统', '引领', '行业']","['新', '产品', '重磅', '发布', '智能', '运行', '管理', '与', '控制系统', '引领', '行业']"
47,药明康德,"['订单', '同比', '再', '加速', '看好', 'H2', '高', '增长']","['订单', '同比', '再', '加速', '看好', 'H2', '高', '增长']"
48,常熟银行,"['Q2', '信贷', '投放', '更进一步', '资产', '质量', '全面', '压实']","['Q2', '信贷', '投放', '更进一步', '资产', '质量', '全面', '压实']"
49,新大正,"['业绩', '稳健', '外拓', '强劲', '长期', '竞争力', '有望', '提升', '—', '—', '2022', '年', '半年报', '点评']","['业绩', '稳健', '外拓', '强劲', '长期', '竞争力', '有望', '提升', '—', '—', '2022', '年', '半年报', '点评']"
50,密尔克卫,"['22Q2', '归母', '净利', '＋', '61', '％', '物贸', '一体化', '亮眼']","['22Q2', '归母', '净利', '＋', '61', '％', '物贸', '一体化', '亮眼']"
51,中信证券,"['控股', '股东', '变更', '加速', '资源整合']","['控股', '股东', '变更', '加速', '资源整合']"
52,华铁应急,"['高空作业', '平台', '租赁', '收入', '维持', '高', '增长', '轻', '资产', '运营', '持续', '推进']","['高空作业', '平台', '租赁', '收入', '维持', '高', '增长', '轻', '资产', '运营', '持续', '推进']"
53,中国铁建,"['逆流', '稳进', '基建', '定', '基调', '利剑', '出鞘', '能源', '环保', '开新章']","['逆流', '稳进', '基建', '定', '基调', '利剑', '出鞘', '能源', '环保', '开新章']"
54,常熟银行,"['业绩', '保持', '高增', '资产', '质量', '优异']","['业绩', '保持', '高增', '资产', '质量', '优异']"
55,新大正,"['收入', '业绩', '高质量', '增长', '运营', '能力', '持续', '领跑']","['收入', '业绩', '高质量', '增长', '运营', '能力', '持续', '领跑']"
56,常熟银行,"['可转债', '临近', '催化', '股价']","['可转债', '临近', '催化', '股价']"
57,盛新锂能,"['业绩', '超出', '预告', '上限', '下半年', '锂', '盐', '或', '增量', '产出']","['业绩', '超出', '预告', '上限', '下半年', '锂', '盐', '或', '增量', '产出']"
58,药明康德,"['中报', '各', '业务', '高速', '增长', '上调', '全年', '指引']","['中报', '各', '业务', '高速', '增长', '上调', '全年', '指引']"
59,天合光能,"['渠道', '优势', '制胜', '产业链', '横纵', '延伸']","['渠道', '优势', '制胜', '产业链', '横纵', '延伸']"
60,拓邦股份,"['业绩', '好于', '预期', '新能源', '业务', '增长', '强劲']","['业绩', '好于', '预期', '新能源', '业务', '增长', '强劲']"
61,盛新锂能,"['冶炼', '产能', '快速', '提升', '期待', '自有', '资源', '释放']","['冶炼', '产能', '快速', '提升', '期待', '自有', '资源', '释放']"
62,迪阿股份,"['专注', '婚恋', '钻饰', '赛道', '独特', '内涵', '助力', '品牌', '突围']","['专注', '婚恋', '钻饰', '赛道', '独特', '内涵', '助力', '品牌', '突围']"
63,三安光电,"['Mini', '_', 'LED', '需求', '放量', '集成电路', '业务', '迈上', '新台阶']","['Mini', '_', 'LED', '需求', '放量', '集成电路', '业务', '迈上', '新台阶']"
64,心脉医疗,"['定增', '开启', '助力', '发展']","['定增', '开启', '助力', '发展']"
65,远兴能源,"['资产重组', '顺利', '推进', '天然碱', '项目', '未来', '成长', '可', '期']","['资产重组', '顺利', '推进', '天然碱', '项目', '未来', '成长', '可', '期']"
66,善水科技,"['染料', '中间体', '及农', '、', '医药', '中间体', '生产', '企业', '扩能', '＋', '新', '产品', '助力', '企业', '成长']","['染料', '中间体', '及农', '、', '医药', '中间体', '生产', '企业', '扩能', '＋', '新', '产品', '助力', '企业', '成长']"
67,上海机场,"['亏损', '大增', '但', '优势', '不减']","['亏损', '大增', '但', '优势', '不减']"
68,复星医药,"['45', '亿定', '增', '落地', '创新', '药', '、', '原料药', '发展', '添', '动力']","['45', '亿定', '增', '落地', '创新', '药', '、', '原料药', '发展', '添', '动力']"
69,华鲁恒升,"['荆州', '扩能', '煤气化', '平台', '延伸', '布局', '新', '材料', '产业']","['荆州', '扩能', '煤气化', '平台', '延伸', '布局', '新', '材料', '产业']"
70,长城汽车,"['汇兑', '损益', '致使', '非', '经', '损益', '超', '预期', '下半年', '逐季', '改善']","['汇兑', '损益', '致使', '非', '经', '损益', '超', '预期', '下半年', '逐季', '改善']"
71,安克创新,"['强化', '用户', '心智', '重新', '定义', '氮化', '镓']","['强化', '用户', '心智', '重新', '定义', '氮化', '镓']"
72,中国中铁,"['22q2', '新签', '降速', '增长', '质量', '、', '弹性', '、', '活力', '均', '值得', '期待']","['22q2', '新签', '降速', '增长', '质量', '、', '弹性', '、', '活力', '均', '值得', '期待']"
73,用友网络,"['企业级', '服务', '龙头', '乘云之风', '腾飞']","['企业级', '服务', '龙头', '乘云之风', '腾飞']"
74,广汇物流,"['“', '西部', '大秦', '”', '随', '“', '疆煤', '外运', '”', '而', '风起', '扶摇直上']","['“', '西部', '大秦', '”', '随', '“', '疆煤', '外运', '”', '而', '风起', '扶摇直上']"
75,华铁应急,"['疫情', '阶段', '扰动', '经营', '质量', '持续', '改善']","['疫情', '阶段', '扰动', '经营', '质量', '持续', '改善']"
76,嘉诚国际,"['粮草', '充沛', '保障', '未来', '跨越式', '成长', '！']","['粮草', '充沛', '保障', '未来', '跨越式', '成长', '！']"
77,杭氧股份,"['中标', '光伏', '制氢', '首个', '氢氧', '压缩机', '项目', '彰显', '大国', '重器']","['中标', '光伏', '制氢', '首个', '氢氧', '压缩机', '项目', '彰显', '大国', '重器']"
78,明月镜片,"['披露', '三个', '月', '临床', '进展', '看好', '长期', '高品质', '发展潜力']","['披露', '三个', '月', '临床', '进展', '看好', '长期', '高品质', '发展潜力']"
79,水井坊,"['业绩', '蓄力', '新', '财年', '关注', '长期', '品牌', '力释', '能']","['业绩', '蓄力', '新', '财年', '关注', '长期', '品牌', '力释', '能']"
80,常熟银行,"['信贷', '增长', '较', '好', '净利润', '保持', '20', '％', '高增']","['信贷', '增长', '较', '好', '净利润', '保持', '20', '％', '高增']"
81,兴业银行,"['大', '股东', '增持', '提振', '信心', '三张', '名片', '打造', '新', '优势']","['大', '股东', '增持', '提振', '信心', '三张', '名片', '打造', '新', '优势']"
82,兴业银行,"['真', '金白银', '增持', '彰显', '股东', '信心', '─', '─', '极', '高性价比', '标的', '，', '坚定', '看好']","['真', '金白银', '增持', '彰显', '股东', '信心', '─', '─', '极', '高性价比', '标的', '，', '坚定', '看好']"
83,兴业银行,"['大', '股东', '增持', '彰显', '长足', '信心', '聚焦', '“', '续集', '”', '，', '维持', '买入']","['大', '股东', '增持', '彰显', '长足', '信心', '聚焦', '“', '续集', '”', '，', '维持', '买入']"
84,天马科技,"['立足', '饲料', '布局', '鳗鱼', '成长', '空间', '不断', '打开']","['立足', '饲料', '布局', '鳗鱼', '成长', '空间', '不断', '打开']"
85,龙竹科技,"['2022H1', '业绩', '向', '好', '吸管', '等', '前序', '竹', '展开', '产线', '已', '试产']","['2022H1', '业绩', '向', '好', '吸管', '等', '前序', '竹', '展开', '产线', '已', '试产']"
86,华大九天,"['国产', 'EDA', '工具', '领军', '企业']","['国产', 'EDA', '工具', '领军', '企业']"
87,Pien,"['2Q22', '_', 'growth', '_', 'slowdown', '_', 'due', '_', 'to', '_', 'COVID', '2022', '_', 'earnings', '_', 'to', '_', 'stabilize']","['2Q22', '_', 'growth', '_', 'slowdown', '_', 'due', '_', 'to', '_', 'COVID', '2022', '_', 'earnings', '_', 'to', '_', 'stabilize']"
88,嘉和美康,"['电子', '病历', '行业龙头', '数据中心', '和', '专科', '电子', '病历', '有望', '成为', '第二', '增长极']","['电子', '病历', '行业龙头', '数据中心', '和', '专科', '电子', '病历', '有望', '成为', '第二', '增长极']"
89,古井贡酒,"['次', '高端', '结构', '升级', '徽酒', '龙头', '后', '百亿', '时代', '来临']","['次', '高端', '结构', '升级', '徽酒', '龙头', '后', '百亿', '时代', '来临']"
90,新大正,"['业绩', '高速', '增长', '多', '业态', '发展', '强劲', '—', '—', '2022', '年', '半年报', '点评']","['业绩', '高速', '增长', '多', '业态', '发展', '强劲', '—', '—', '2022', '年', '半年报', '点评']"
91,濮阳惠成,"['公司', '上半年', '净利润', '预计', '同比', '大幅', '增长', '风电', '等', '应用', '推动', '顺酐', '酸酐', '衍生物', '需求', '持续增长']","['公司', '上半年', '净利润', '预计', '同比', '大幅', '增长', '风电', '等', '应用', '推动', '顺酐', '酸酐', '衍生物', '需求', '持续增长']"
92,航天宏图,"['发布', '2022', '股权', '激励', '计划', '加速', '布局', '实景', '三维', '中国', '建设']","['发布', '2022', '股权', '激励', '计划', '加速', '布局', '实景', '三维', '中国', '建设']"
93,航天宏图,"['推出', '新一期', '激励', '计划', '完善', '长效', '激励机制', '—', '—', '公司', '信息', '更新', '报告']","['推出', '新一期', '激励', '计划', '完善', '长效', '激励机制', '—', '—', '公司', '信息', '更新', '报告']"
94,科华数据,"['获得', '大型', '储能', '订单', '海外', '户用', '储能', '打开', '新', '市场']","['获得', '大型', '储能', '订单', '海外', '户用', '储能', '打开', '新', '市场']"
95,濮阳惠成,"['股权', '激励', '振奋人心', '顺酐', '酸酐', '空间', '广阔']","['股权', '激励', '振奋人心', '顺酐', '酸酐', '空间', '广阔']"
96,伟星股份,"['预计', '订单', '环比', '向', '好', '需求', '基本', '盘', '＋', '份额', '提升', '提振', 'Q3', '预期']","['预计', '订单', '环比', '向', '好', '需求', '基本', '盘', '＋', '份额', '提升', '提振', 'Q3', '预期']"
97,新大正点,"['项目', '拓展', '积极', '业绩', '增速', '保持', '高位']","['项目', '拓展', '积极', '业绩', '增速', '保持', '高位']"
98,移为通信,"['盈利', '能力', '改善', '在手', '订单', '充沛']","['盈利', '能力', '改善', '在手', '订单', '充沛']"
99,安琪酵母,"['产能', '扩张', '突破', '收入', '瓶颈', '盈利', '周期', '已至', '底部']","['产能', '扩张', '突破', '收入', '瓶颈', '盈利', '周期', '已至', '底部']"
100,珀莱雅,"['践行', '大', '单品', '策略', '、', '品牌', '矩阵', '成型', '业绩', '稳增', '符合', '预期']","['践行', '大', '单品', '策略', '、', '品牌', '矩阵', '成型', '业绩', '稳增', '符合', '预期']"
101,华熙生物,"['功能性', '护肤', '延续', '高增', '业绩', '增长', '略超', '预期']","['功能性', '护肤', '延续', '高增', '业绩', '增长', '略超', '预期']"
102,济川药业,"['二季度', '疫情', '影响', '收入', '微降', '下半年', '有望', '企稳', '回升']","['二季度', '疫情', '影响', '收入', '微降', '下半年', '有望', '企稳', '回升']"
103,常熟银行,"['营收', '维持', '高增', '资产', '质量', '优于', '同业']","['营收', '维持', '高增', '资产', '质量', '优于', '同业']"
104,华海清科,"['22H1', '业绩', '超', '公司', '指引', 'Q2', '延续', '高', '成长']","['22H1', '业绩', '超', '公司', '指引', 'Q2', '延续', '高', '成长']"
105,贵州茅台,"['改革', '红利', '持续', '释放', '局部', '疫情', '未扰', '稳健', '增长']","['改革', '红利', '持续', '释放', '局部', '疫情', '未扰', '稳健', '增长']"
106,常熟银行,"['营收超', '预期', '需求', '回暖', '业绩', '走强', '更', '可期']","['营收超', '预期', '需求', '回暖', '业绩', '走强', '更', '可期']"
107,宝立食品,"['复调', '稳中有升', '轻', '烹', '速食', '打开', '空间']","['复调', '稳中有升', '轻', '烹', '速食', '打开', '空间']"
108,和元生物,"['深耕', '基因治疗', '外', '包', '行业', '国内', 'CGTCXO', '领跑者']","['深耕', '基因治疗', '外', '包', '行业', '国内', 'CGTCXO', '领跑者']"
109,新益昌投,"['LED', '固晶机', '龙头', '受益', 'Mini', '_', 'LED', '增长', '布局', '半导体', '打开', '更大', '市场']","['LED', '固晶机', '龙头', '受益', 'Mini', '_', 'LED', '增长', '布局', '半导体', '打开', '更大', '市场']"
110,药明康德,"['一体化', '赋能', '平台', '业绩', '持续', '高', '增长']","['一体化', '赋能', '平台', '业绩', '持续', '高', '增长']"
111,深圳机场,"['厚积薄发', '期待', '复苏']","['厚积薄发', '期待', '复苏']"
112,东方精工,"['Fosber', '订单', '充足', '瓦楞纸', '包装', '设备', '龙头', '营收', '有望', '稳步增长']","['Fosber', '订单', '充足', '瓦楞纸', '包装', '设备', '龙头', '营收', '有望', '稳步增长']"
113,山东赫达,"['纤维素', '醚', '价格', '有望', '维持', '高位', '植物', '胶囊', '销量', '有望', '企稳', '回升']","['纤维素', '醚', '价格', '有望', '维持', '高位', '植物', '胶囊', '销量', '有望', '企稳', '回升']"
114,白云机场,"['乌云', '暂覆', '白云', '必归']","['乌云', '暂覆', '白云', '必归']"
115,容知日新,"['22H1', '归母', '净利润', '同比', '增长', '84', '％', '大力', '拓展', '石化', '冶金', '水泥', '行业']","['22H1', '归母', '净利润', '同比', '增长', '84', '％', '大力', '拓展', '石化', '冶金', '水泥', '行业']"
116,裕同科技,"['多元化', '业务', '步入', '收获期', '盈利', '拐点', '初步', '验证']","['多元化', '业务', '步入', '收获期', '盈利', '拐点', '初步', '验证']"
117,水井坊,"['收入', '短期', '承压', '盈利', '转正', '新品', '推进', '圈层', '营销', '可', '期']","['收入', '短期', '承压', '盈利', '转正', '新品', '推进', '圈层', '营销', '可', '期']"
118,华铁应急,"['中', '报', '符合', '预期', '行业', '红利', '期', '看好', '2H22', '业绩', '提速']","['中', '报', '符合', '预期', '行业', '红利', '期', '看好', '2H22', '业绩', '提速']"
119,药明康德,"['无惧', '疫情', '扰动', '实现', '高', '增长', '上调', '全年收入', '预期']","['无惧', '疫情', '扰动', '实现', '高', '增长', '上调', '全年收入', '预期']"
120,联泓新科,"['Q2', '业绩', '创新', '高', '平台', '化发展', '持续', '推进']","['Q2', '业绩', '创新', '高', '平台', '化发展', '持续', '推进']"
121,常熟银行,"['小', '微量', '增', '质优', '可转债', '即将', '发行', '—', '—', '2022', '年', '中期', '业绩', '快报', '点评']","['小', '微量', '增', '质优', '可转债', '即将', '发行', '—', '—', '2022', '年', '中期', '业绩', '快报', '点评']"
122,际华集团,"['扎实', '改革', '蓄力', '发展', '军需品', '龙头', '修复', '可', '期']","['扎实', '改革', '蓄力', '发展', '军需品', '龙头', '修复', '可', '期']"
123,常熟银行,"['信贷', '高增', '资产', '质量', '持续', '优异']","['信贷', '高增', '资产', '质量', '持续', '优异']"
124,睿昂基因,"['血液病', '领域', '领先', '企业', '技术', '积淀', '促', '业务', '多元', '发展']","['血液病', '领域', '领先', '企业', '技术', '积淀', '促', '业务', '多元', '发展']"
125,水井坊,"['营收', '稳健', '增长', '高端化', '扎实', '推进']","['营收', '稳健', '增长', '高端化', '扎实', '推进']"
126,长安汽车,"['深蓝', 'SL03', '定价', '超', '预期', '20', '万元', '电车', '新', '标杆']","['深蓝', 'SL03', '定价', '超', '预期', '20', '万元', '电车', '新', '标杆']"
127,江山欧派,"['工程', '直营', '承压', '工程', '代理', '和', '经销商', '渠道', '高增']","['工程', '直营', '承压', '工程', '代理', '和', '经销商', '渠道', '高增']"
128,爱美客投,"['医美', '赛道', '长期', '主义', '的', '践', '行者']","['医美', '赛道', '长期', '主义', '的', '践', '行者']"
129,北斗星通,"['权', '转让', '影响', '并表', '数据', '业绩', '符合', '预期']","['权', '转让', '影响', '并表', '数据', '业绩', '符合', '预期']"
130,优宁维深,"['国内', '生命科学', '研究', '综合', '服务商']","['国内', '生命科学', '研究', '综合', '服务商']"
131,科伦药业,"['与', 'MSD', '达成', '第二项', 'ADC', '合作', '创新', '技术', '平台', '价值', '凸显']","['与', 'MSD', '达成', '第二项', 'ADC', '合作', '创新', '技术', '平台', '价值', '凸显']"
132,密尔克卫,"['第二', '曲线', '日益', '明朗']","['第二', '曲线', '日益', '明朗']"
133,赛腾股份,"['消费', '电子', '＋', '半导体', '设备', '齐发', '力', '盈利', '能力', '预期', '改善']","['消费', '电子', '＋', '半导体', '设备', '齐发', '力', '盈利', '能力', '预期', '改善']"
134,百傲化学,"['单', '季度', '业绩', '重回', '历史', '高位', '三期', '项目', '如期', '投产']","['单', '季度', '业绩', '重回', '历史', '高位', '三期', '项目', '如期', '投产']"
135,新大正,"['保持', '高速成长', '完善', '城市', '公司', '激励']","['保持', '高速成长', '完善', '城市', '公司', '激励']"
136,复星医药,"['独家', '商业化', '首个', '国产', '新冠', '口服药', '有望', '获得', '可观', '收益']","['独家', '商业化', '首个', '国产', '新冠', '口服药', '有望', '获得', '可观', '收益']"
137,百利科技,"['收购', '负极', '材料', '设备', '商', '完善', '锂电', '领域', '布局', '—', '—', '锂电', '设备', '系列', '报告']","['收购', '负极', '材料', '设备', '商', '完善', '锂电', '领域', '布局', '—', '—', '锂电', '设备', '系列', '报告']"
138,联创电子,"['车载', '摄像头', '量', '价齐升', '公司', '护城河', '不断', '加深']","['车载', '摄像头', '量', '价齐升', '公司', '护城河', '不断', '加深']"
139,江丰电子,"['国内', '靶材', '龙头', '进军', '半导体', '零部件', '领域', '—', '—', '海外', '硬', '科技', '龙头', '复盘', '研究', '系列', '之二']","['国内', '靶材', '龙头', '进军', '半导体', '零部件', '领域', '—', '—', '海外', '硬', '科技', '龙头', '复盘', '研究', '系列', '之二']"
140,复星医药,"['获得', '阿兹夫定', '独家', '商业化', '权益', '新冠', '领域', '多方位', '布局']","['获得', '阿兹夫定', '独家', '商业化', '权益', '新冠', '领域', '多方位', '布局']"
141,顺网科技,"['流量', '及', '技术', '积累', '助', '公司', '元', '宇宙', '场景', '落地']","['流量', '及', '技术', '积累', '助', '公司', '元', '宇宙', '场景', '落地']"
142,北鼎股份,"['自主', '品牌', '增速', '稳定', '业绩', '有所', '下滑', '—', '—', '2022H1', '公司业绩', '快报', '点评']","['自主', '品牌', '增速', '稳定', '业绩', '有所', '下滑', '—', '—', '2022H1', '公司业绩', '快报', '点评']"
143,南网科技,"['“', '储能', '+', '”', '全线', '布局', '智能', '电网', '设备', '乘势而上']","['“', '储能', '+', '”', '全线', '布局', '智能', '电网', '设备', '乘势而上']"
144,中国建筑,"['Q2', '订单', '改善', '好于', '预期', '地产', '销售额', '连续', '两月', '为', '正']","['Q2', '订单', '改善', '好于', '预期', '地产', '销售额', '连续', '两月', '为', '正']"
145,药明康德,"['业绩', '呈现', '高速', '增长', '小', '分子', 'CDMO', '业务', '继续', '贡献', '核心', '业绩', '增量']","['业绩', '呈现', '高速', '增长', '小', '分子', 'CDMO', '业务', '继续', '贡献', '核心', '业绩', '增量']"
146,药明康德,"['H1', '扣非', '利润', '增速', '超', '80', '％', 'CXO', '龙头', '持续', '高', '增长']","['H1', '扣非', '利润', '增速', '超', '80', '％', 'CXO', '龙头', '持续', '高', '增长']"
147,密尔克卫,"['H1', '归母', '净利', '同增', '60', '％', '以上', '兼具', '韧性', '和', '成长性']","['H1', '归母', '净利', '同增', '60', '％', '以上', '兼具', '韧性', '和', '成长性']"
148,汇川技术,"['常态', '化', '股权', '＋', '长效', '激励', '助力', '龙头', '再次', '腾飞']","['常态', '化', '股权', '＋', '长效', '激励', '助力', '龙头', '再次', '腾飞']"
149,常熟银行,"['存贷', '保持', '高增', '资产', '质量', '优中', '夯实']","['存贷', '保持', '高增', '资产', '质量', '优中', '夯实']"
150,创维数字,"['VR', '全新', '品牌', '发布', 'C', '端', '运营', '转型', '正式', '启程']","['VR', '全新', '品牌', '发布', 'C', '端', '运营', '转型', '正式', '启程']"
151,国能日新,"['新能源', '发电', '功率', '预测', '市场', '的', '领军', '多点', '布局', '打开', '成长', '空间']","['新能源', '发电', '功率', '预测', '市场', '的', '领军', '多点', '布局', '打开', '成长', '空间']"
152,隆利科技,"['Mini', '_', 'LED', '背光', '产品', '放量', '在', '即', '驱动', '业绩', '底部', '反转']","['Mini', '_', 'LED', '背光', '产品', '放量', '在', '即', '驱动', '业绩', '底部', '反转']"
153,天目湖,"['深耕', '优质', '旅游', '目的地', '优化', '产品', '布局', '疫后', '恢复']","['深耕', '优质', '旅游', '目的地', '优化', '产品', '布局', '疫后', '恢复']"
